Song_title,Artist,genre,release_date,topic,len,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
i don't hurt anymore,hank locklin,country,1965.0,sadness,25.0,6avRZyfcRndnnbyPtdZQjq,0.74,0.273,0.0,-18.674,1.0,0.0795,0.0279,0.0186,0.0756,0.9,165.261,audio_features,7l7qkt9cvhBN9LtZzF8pdT,spotify:track:7l7qkt9cvhBN9LtZzF8pdT,https://api.spotify.com/v1/tracks/7l7qkt9cvhBN9LtZzF8pdT,https://api.spotify.com/v1/audio-analysis/7l7qkt9cvhBN9LtZzF8pdT,457120.0,3.0
runaway,half•alive,rock,2019.0,sadness,84.0,0Dit4xsY3yFY73b19VxsYE,0.305,0.77,2.0,-6.694,1.0,0.0276,0.062,0.203,0.0976,0.374,107.367,audio_features,2wNK1PjIS9NbBIchakaL7k,spotify:track:2wNK1PjIS9NbBIchakaL7k,https://api.spotify.com/v1/tracks/2wNK1PjIS9NbBIchakaL7k,https://api.spotify.com/v1/audio-analysis/2wNK1PjIS9NbBIchakaL7k,729680.0,4.0
version,clinton fearon,reggae,1974.0,world/life,85.0,7l7qkt9cvhBN9LtZzF8pdT,0.669,0.788,4.0,-4.715,1.0,0.0366,0.00766,4.09e-05,0.387,0.828,143.388,audio_features,7moS0kYQ3AEQF79F1TW2br,spotify:track:7moS0kYQ3AEQF79F1TW2br,https://api.spotify.com/v1/tracks/7moS0kYQ3AEQF79F1TW2br,https://api.spotify.com/v1/audio-analysis/7moS0kYQ3AEQF79F1TW2br,234320.0,4.0
siberian breaks,mgmt,rock,2010.0,violence,178.0,2wNK1PjIS9NbBIchakaL7k,0.351,0.675,3.0,-10.073,1.0,0.0343,0.00272,0.000122,0.407,0.335,168.016,audio_features,3Woz4yXgXOSTs6Yc0Oh2Es,spotify:track:3Woz4yXgXOSTs6Yc0Oh2Es,https://api.spotify.com/v1/tracks/3Woz4yXgXOSTs6Yc0Oh2Es,https://api.spotify.com/v1/audio-analysis/3Woz4yXgXOSTs6Yc0Oh2Es,279912.0,4.0
i feel the same,bonnie raitt,pop,1973.0,sadness,40.0,0R5BQ3uQkPKITB7rDgNUhh,0.717,0.465,2.0,-12.027,0.0,0.0556,0.754,5.06e-05,0.557,0.823,109.354,audio_features,5HiI5koKreGVsXAB5F0uuw,spotify:track:5HiI5koKreGVsXAB5F0uuw,https://api.spotify.com/v1/tracks/5HiI5koKreGVsXAB5F0uuw,https://api.spotify.com/v1/audio-analysis/5HiI5koKreGVsXAB5F0uuw,137707.0,4.0
dead on arrival,billy idol,pop,1982.0,violence,59.0,7moS0kYQ3AEQF79F1TW2br,0.628,0.107,7.0,-16.251,1.0,0.0332,0.955,6.29e-05,0.0967,0.625,139.993,audio_features,4jHlDYHJOjDf8hSVJC6hkW,spotify:track:4jHlDYHJOjDf8hSVJC6hkW,https://api.spotify.com/v1/tracks/4jHlDYHJOjDf8hSVJC6hkW,https://api.spotify.com/v1/audio-analysis/4jHlDYHJOjDf8hSVJC6hkW,66836.0,3.0
spirits will collide,devin townsend,jazz,2019.0,world/life,52.0,3Woz4yXgXOSTs6Yc0Oh2Es,0.306,0.995,2.0,-3.203,1.0,0.1,2.98e-05,0.00859,0.254,0.135,127.908,audio_features,1ZEoYuekZQo62DLFtPVdqT,spotify:track:1ZEoYuekZQo62DLFtPVdqT,https://api.spotify.com/v1/tracks/1ZEoYuekZQo62DLFtPVdqT,https://api.spotify.com/v1/audio-analysis/1ZEoYuekZQo62DLFtPVdqT,247693.0,4.0
putty in your hands,the shirelles,pop,1962.0,obscene,96.0,6VNZ2wD3ylpNKHZcz5RluU,0.566,0.984,4.0,-2.459,0.0,0.149,0.805,2.19e-05,0.354,0.501,158.712,audio_features,5ZeMGAJVrndrE0pVLo593J,spotify:track:5ZeMGAJVrndrE0pVLo593J,https://api.spotify.com/v1/tracks/5ZeMGAJVrndrE0pVLo593J,https://api.spotify.com/v1/audio-analysis/5ZeMGAJVrndrE0pVLo593J,127773.0,4.0
just say goodbye,esther phillips,blues,2005.0,romantic,44.0,5HiI5koKreGVsXAB5F0uuw,0.668,0.367,11.0,-11.002,1.0,0.0285,0.891,0.00521,0.103,0.342,110.21,audio_features,0gKiONJeEtwb3hps4sUgyn,spotify:track:0gKiONJeEtwb3hps4sUgyn,https://api.spotify.com/v1/tracks/0gKiONJeEtwb3hps4sUgyn,https://api.spotify.com/v1/audio-analysis/0gKiONJeEtwb3hps4sUgyn,161907.0,4.0
i'm one,the who,rock,1973.0,sadness,35.0,4jHlDYHJOjDf8hSVJC6hkW,0.337,0.23,0.0,-16.269,1.0,0.0494,0.59,0.0229,0.109,0.126,76.705,audio_features,1IdTBf0QfIvl4giLRuNOk0,spotify:track:1IdTBf0QfIvl4giLRuNOk0,https://api.spotify.com/v1/tracks/1IdTBf0QfIvl4giLRuNOk0,https://api.spotify.com/v1/audio-analysis/1IdTBf0QfIvl4giLRuNOk0,324573.0,4.0
